address;shares;value_before;value_after;loss_previewdiff;loss_analytic
0xd4bc689aca0a4a0a80f6c144f0030378c2652621;570667708214774057856;575880543312761;246289867653173;329590675659588;329590675659588
0x04d1c2bc25288a8f062687404250a423af15937c;570088872912460290032;575296420567446;246040052799541;329256367767905;329256367767904
0x1548600f1f56db8d97c14c423ca267f4162a4eda;569856535829754545655;575061961172785;245939780314298;329122180858487;329122180858486
0x97a1ca841b4792068932d4224681f6f6fa22c549;524826946456747857389;529621043419790;226505823481786;303115219938004;303115219938004
0x1e8cd608e37fbfede9721ff1b94bd5e5b149c911;520638200274940516231;525394034615447;224698036344194;300695998271253;300695998271253
0x42a9cf494df977bbb90a1a45233df6d3794a4894;513962678724304519235;518657534683634;221817001907594;296840532776040;296840532776040
0x2515659c48369592d0a47d32135aa87782051ba4;506893264834331785394;511523544353962;218765970657213;292757573696749;292757573696749
0xd923de646d3f0bb9eb7f9169f259c79c3ede2188;497715504650397284646;502261948779101;214805015256170;287456933522931;287456933522930
0xa31e8272f5ebc398bd01368e1bc91076068dfe2f;497617574860232733541;502163124437098;214762750528884;287400373908214;287400373908214
0x22192c574f1a68ac85a532620f55d2d7aa9ddfac;497614248167007352944;502159767355780;214761314788220;287398452567560;287398452567560
0xce355a1bb38240450c09333ee60902bca1521f2d;497596790364957164673;502142150083268;214753780316417;287388369766851;287388369766850
0xa92f4a523d8ae3c37e4716b89d05bf57862cf998;497303906372160499061;501846590705242;214627376879206;287219213826036;287219213826035
0xadad7ec70ac6b2599360efc99089b575e4bc376d;497231590376345636453;501773614129976;214596166602574;287177447527402;287177447527402
0xa2608e76d835d0b3db2bbcbd4bd1f78d47208353;496137955427767596883;500669989237054;214124173526973;286545815710081;286545815710080
0xf88c303d383ac9053841531fb64720cf92a8d8d6;496137179831530023466;500669206556036;214123838793657;286545367762379;286545367762379
0x0057be07beef5d9b4beb9e2d147906e83d1915c8;496076978528494568104;500608455336717;214097856999447;286510598337270;286510598337270
0xee172e131977ff8928958769c284fc87b85eb4af;492012928670796570813;496507281910551;212343886541368;284163395369183;284163395369183
0xda286b33234235ed92160f71b98c98e5a6b01493;491513713552462807287;496003506649681;212128434319952;283875072329729;283875072329728
0x10495e143d79296d5222497b7245294dc9e2d596;490052158575935053773;494528600917592;211497653610697;283030947306895;283030947306894
0x4afc6fafbe1cd2b4c074107b86d2fb95c4c76abf;469241647946752148047;473527994092929;202516213387471;271011780705458;271011780705458
0x7eb9563ca3b5b4e8f138a8a4fa983bc65293211b;466549397837095081421;470811151290077;201354286904420;269456864385657;269456864385657
0x65ee472fa8a76555a1cb72510e3d1da5f1662214;456447521333390522187;460616997940082;196994499603805;263622498336277;263622498336277
0x3cf282cd2df98d8589598fde938eecd1dac9671f;453738266831738642680;457882995416504;195825234332535;262057761083969;262057761083968
0x31738dac34244088ce78284db1074e03db6f1743;452950247245332814372;457087777567258;195485139323039;261602638244219;261602638244218
0x624310638b9901933fab5f5b0deb2b33e13c87cc;443230105864902806165;447278846347459;191290102001504;255988744345955;255988744345955
0x70d628288d3b2244b9c2fe12b8c987162380c642;442144951960365014935;446183779969728;190821769191210;255362010778518;255362010778517
0x81f61bac5da8b0e445b3ed7164ac89bb72b9d7f8;439470526081690784481;443484924215512;189667535324066;253817388891446;253817388891445
0x830bc5551e429ddbc4e9ac78436f8bf13eca8434;437618467579668674043;441615947854946;188868220351828;252747727503118;252747727503118
0x1e5773301a43304d645341bce9af9d0cf6a0d1f0;432709626833301469306;436662266692756;186749653416377;249912613276379;249912613276378
0x952d3cfdeddb345a3dae3cd137368dedd9ea1dec;427663619700927638120;431570166181160;184571887948103;246998278233057;246998278233057
0x5a9b86708b7aa08e4a73f792f156d8a96e163136;427654591998817096085;431561056014383;184567991755054;246993064259329;246993064259328
